iter	Passed	Remaining
0	1	105
1	1	93
2	2	88
3	3	82
4	4	82
5	5	80
6	6	80
7	7	91
8	9	93
9	10	92
10	11	90
11	12	89
12	13	88
13	14	87
14	15	86
15	16	85
16	17	83
17	18	82
18	19	81
19	20	80
20	21	79
21	23	82
22	24	80
23	24	79
24	25	77
25	26	76
26	27	74
27	28	73
28	29	71
29	30	70
30	31	69
31	32	68
32	32	66
33	33	65
34	34	64
35	35	63
36	37	63
37	38	63
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	52	46
53	53	45
54	53	44
55	54	42
56	55	41
57	56	40
58	57	39
59	58	38
60	59	37
61	60	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	67	30
69	68	29
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	79	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	93	1
98	93	0
99	94	0
